line,Pija,Pijb,Pijc,Qija,Qijb,Qijc,status
"('area_54', 'area_53')",0.0,0.0,18.3,0.0,0.0,4.5899999999965075,1.0
"('area_27', 'area_54')",0.0,0.0,55.93000000000291,0.0,0.0,14.029999999996507,1.0
"('area_55', 'area_53')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_22', 'area_55')",0.0,0.0,279.65,0.0,0.0,70.08,1.0
"('area_14', 'area_56')",115.29,169.25,128.14,28.9,42.43,32.12,1.0
"('area_56', 'area_57')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_32', 'area_58')",180.93,486.53000000000003,160.69,45.37,121.94,40.27,1.0
"('area_38', 'area_59')",49.67,405.7,36.61,12.45,101.68,9.16,1.0
"('area_23', 'area_60')",54.98000000002505,35.03,0.0,13.78,8.780000000000001,0.0,1.0
"('area_60', 'area_61')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_9', 'area_62')",8.87,9.73,10.17,2.23,2.44,2.55,1.0
"('area_30', 'area_63')",204.87,167.37,159.68,51.36,41.93,40.01,1.0
"('area_26', 'area_64')",0.0,312.34000000000003,0.0,0.0,78.32999999999998,0.0,1.0
"('area_64', 'area_65')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_26', 'area_26')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_50', 'area_50')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_24', 'area_66')",0.0,0.0,31.53,0.0,0.0,7.91,1.0
"('area_32', 'area_32')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_58', 'area_58')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_63', 'area_67')",0.0,0.0,149.51,0.0,0.0,37.47,1.0
"('area_9', 'area_68')",0.0,252.0,0.0,0.0,63.13,0.0,1.0
"('area_63', 'area_69')",0.0,35.03,0.0,0.0,8.77,0.0,1.0
"('area_63', 'area_70')",0.0,35.03,0.0,0.0,8.78,0.0,1.0
"('area_26', 'area_71')",77.16,0.0,0.0,19.32,0.0,0.0,1.0
"('area_59', 'area_72')",0.0,200.43,0.0,0.0,50.24,0.0,1.0
"('area_45', 'area_73')",12.420000000000002,0.0,0.0,3.1100000000000003,0.0,0.0,1.0
"('area_13', 'area_74')",0.0,0.0,251.2,0.0,0.0,62.96999999999999,1.0
"('area_19', 'area_75')",0.0,74.92,0.0,0.0,18.8,0.0,1.0
"('area_19', 'area_76')",0.0,0.0,106.79,0.0,0.0,26.78,1.0
"('area_18', 'area_77')",0.0,212.08,0.0,0.0,53.13,0.0,1.0
"('area_77', 'area_78')",0.0,5.84,0.0,0.0,1.46,0.0,1.0
"('area_68', 'area_79')",0.0,9.73,0.0,0.0,2.44,0.0,1.0
"('area_77', 'area_80')",0.0,5.84,0.0,0.0,1.46,0.0,1.0
"('area_77', 'area_81')",0.0,5.84,0.0,0.0,1.46,0.0,1.0
"('area_58', 'area_82')",0.0,256.87,0.0,0.0,64.38,0.0,1.0
"('area_58', 'area_83')",0.0,204.36,0.0,0.0,51.21999999999999,0.0,1.0
"('area_58', 'area_84')",60.31,0.0,0.0,15.12,0.0,0.0,1.0
"('area_46', 'area_65')",162.29000000000002,0.0,0.0,40.690000000000005,0.0,0.0,1.0
"('area_48', 'area_85')",0.0,238.41000000000005,0.0,0.0,59.72,0.0,1.0
"('area_32', 'area_86')",131.25,0.0,0.0,32.940000000000005,0.0,0.0,1.0
"('area_63', 'area_87')",158.75,0.0,0.0,39.8,0.0,0.0,1.0
"('area_9', 'area_88')",375.52,342.99,404.02,212.80999999999767,194.36000000000058,228.9100000000035,1.0
"('area_88', 'area_89')",174.47,0.0,0.0,98.88,0.0,0.0,1.0
"('area_88', 'area_90')",0.0,144.34,0.0,0.0,81.77000000000001,0.0,1.0
"('area_88', 'area_91')",0.0,0.0,157.27,0.0,0.0,89.06,1.0
"('area_88', 'area_92')",0.0,198.65,0.0,0.0,112.59,0.0,1.0
"('area_88', 'area_93')",0.0,0.0,206.23,0.0,0.0,116.89,1.0
"('area_88', 'area_94')",201.05,0.0,0.0,113.93,0.0,0.0,1.0
"('area_88', 'area_95')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_88', 'area_96')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_88', 'area_97')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_88', 'area_98')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_88', 'area_99')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_1', 'area_31')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_1', 'area_57')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_1', 'area_61')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_1', 'area_88')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_1', 'area_52')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_1', 'area_40')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_1', 'area_25')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
